country,total_cases,total_deaths,total_recovered,active_cases,total_tests_1m_pop,deaths_1m_pop,total_tests,tests_1m_pop,population,country_id,_id
USA,100962660,1107794,98374922,1479944,301556,3309,1143194153,3414505,334805269,1,6390cb5c15cbcb0402af9544
India,44674874,530638,44139056,5180,31760,377,907643809,645260,1406631776,2,6390cb5c15cbcb0402af9545
France,38184081,159362,37057677,967042,582212,2430,271490188,4139547,65584518,3,6390cb5c15cbcb0402af9546
Germany,36649979,158559,35986500,504920,436915,1890,122332384,1458359,83883596,4,6390cb5c15cbcb0402af9547
Brazil,35482252,690465,34262104,529683,164763,3206,63776166,296146,215353593,5,6390cb5c15cbcb0402af9548
S. Korea,27483568,30847,26481961,970760,535430,601,15804065,307892,51329899,6,6390cb5c15cbcb0402af9549
Japan,25554733,50819,20779773,4724141,203486,405,82540464,657249,125584838,7,6390cb5c15cbcb0402af954a
Italy,24488080,181733,23799178,507169,406355,3016,258382332,4287595,60262770,8,6390cb5c15cbcb0402af954b
UK,24024746,197253,23761967,65526,350737,2880,522526476,7628357,68497907,9,6390cb5c15cbcb0402af954c
Russia,21635764,392400,21037111,206253,148387,2691,273400000,1875095,145805947,10,6390cb5c15cbcb0402af954d
Spain,13614807,116108,13403322,95377,291418,2485,471036328,10082298,46719142,11,6390cb5c15cbcb0402af954e
Vietnam,11519011,43178,10609257,866576,116408,436,85826548,867342,98953541,12,6390cb5c15cbcb0402af954f
Australia,10763649,16284,10546102,201263,412894,625,78835048,3024116,26068792,13,6390cb5c15cbcb0402af9550
Argentina,9739856,130034,9591684,18138,211689,2826,35716069,776264,46010234,14,6390cb5c15cbcb0402af9551
Netherlands,8547416,22926,8500604,23886,496612,1332,25984435,1509718,17211447,15,6390cb5c15cbcb0402af9552
Taiwan,8412200,14548,8097706,299946,352143,609,28682041,1200658,23888595,16,6390cb5c15cbcb0402af9553
Iran,7559999,144649,7335383,79967,87884,1682,54420785,632632,86022837,17,6390cb5c15cbcb0402af9554
Mexico,7148886,330602,6409136,409148,54338,2513,18823991,143080,131562772,18,6390cb5c15cbcb0402af9555
Indonesia,6689532,160112,6481690,47730,23965,574,112897538,404456,279134505,19,6390cb5c15cbcb0402af9556
Poland,6356082,118350,5335940,901792,168419,3136,37833956,1002495,37739785,20,6390cb5c15cbcb0402af9557
Colombia,6318021,141911,6142640,33470,122650,2755,36907625,716475,51512762,21,6390cb5c15cbcb0402af9558
Austria,5595286,21247,5525549,48490,617124,2343,203060135,22396231,9066710,22,6390cb5c15cbcb0402af9559
Portugal,5546290,25517,5503077,17696,546941,2516,45641725,4500903,10140570,23,6390cb5c15cbcb0402af955a
Greece,5404690,34309,5351445,18936,523881,3326,100284496,9720658,10316637,24,6390cb5c15cbcb0402af955b
Ukraine,5341284,110586,5218950,11748,123663,2560,32603805,754855,43192122,25,6390cb5c15cbcb0402af955c
Malaysia,5003557,36732,4945067,21758,150796,1107,66606182,2007355,33181072,26,6390cb5c15cbcb0402af955d
Chile,4945425,62605,4874626,8194,256903,3252,47220855,2453007,19250195,27,6390cb5c15cbcb0402af955e
Israel,4730502,11882,4704016,14604,507238,1274,41373364,4436346,9326000,28,6390cb5c15cbcb0402af955f
Thailand,4711528,33285,4649509,28734,67232,475,17270775,246450,70078203,29,6390cb5c15cbcb0402af9560
Belgium,4644478,33086,4586036,25356,398043,2836,36163288,3099282,11668278,30,6390cb5c15cbcb0402af9561
Czechia,4564148,41931,4512605,9612,425095,3905,56652713,5276507,10736784,31,6390cb5c15cbcb0402af9562
Canada,4423053,48044,4314332,60677,115218,1252,66343123,1728207,38388419,32,6390cb5c15cbcb0402af9563
Switzerland,4335513,14343,4238840,82330,494152,1635,23068899,2629343,8773637,33,6390cb5c15cbcb0402af9564
Peru,4316167,217542,3992386,106239,128136,6458,36694749,1089375,33684208,34,6390cb5c15cbcb0402af9565
Philippines,4044000,64794,3961780,17426,35944,576,33762944,300091,112508994,35,6390cb5c15cbcb0402af9566
South Africa,4043242,102464,3912506,28272,66549,1686,26473049,435726,60756135,36,6390cb5c15cbcb0402af9567
Romania,3298738,67289,3227158,4291,173332,3536,25812063,1356293,19031335,37,6390cb5c15cbcb0402af9568
Denmark,3150954,7557,3136803,6594,540014,1295,128853831,22083108,5834950,38,6390cb5c15cbcb0402af9569
